DNI,Nombre Completo,Zona,Prioridad,Hora de Registro
45531625,Mariana Gomez Flores,Discapacitado,2,2226
91950166,Martin Acosta Diaz,VIP,5,0909
89116206,Marta Flores Martinez,Discapacitado,2,2055
87418612,David Perez Diaz,General A,2,2206
36224930,Julio Mamani Castro,Discapacitado,2,1200
98789045,Miguel Vargas Quispe,Prensa,4,2133
31564399,Catalina Castillo Medina,Platino,4,0841
21092706,Roberto Rios Romero,General A,2,1356
73565007,Carolina Acosta Gomez,Platino,4,1341
57850821,Veronica Castro Castillo,General B,1,2246
66930425,Santiago Navarro Rodriguez,Discapacitado,2,1054
92153272,Mateo Sanchez Ruiz,Platino,4,0921
23471151,Gustavo Navarro Gonzales,Platino,4,1347
30635905,Fernanda Diaz Medina,Prensa,4,1722
24714234,Gabriela Martin Gomez,Platino,4,1019
25604073,Tomas Romero Navarro,VIP,5,1707
23903368,Oscar Solis Acosta,Platino,4,1307
81570167,Fernanda Martinez Lopez,Discapacitado,2,0932
94956658,Leonardo Vargas Torres,VIP,5,2205
95369518,Monica Acosta Romero,Prensa,4,1056
27738847,Pilar Garcia Moreno,General B,1,1207
77263301,Manuel Flores Rojas,General A,2,0946
77262300,Camila Fernandez Moreno,Prensa,4,1417
82277515,Daniel Soto Jimenez,VIP,5,1802
36122566,Felipe Diaz Rios,Platino,4,1905
20263416,Ricardo Herrera Fernandez,Prensa,4,1107
33320051,Estefania Herrera Torres,General A,2,2128
83305958,Alejandra Soto Castro,Platino,4,2150
76950962,Carmen Sanchez Torres,Discapacitado,2,0910
76081613,Monica Rojas Romero,Platino,4,1425
25053326,Natalia Soto Rojas,Discapacitado,2,1347
12537695,Carmen Moreno Gomez,General B,1,1734
90565207,Cristina Solis Alvarez,General A,2,1138
22787589,Lucia Gonzales Castro,Prensa,4,2215
86209886,Alejandra Rios Alvarez,VIP,5,1753
52261027,Cecilia Moreno Fernandez,General B,1,1110
23276339,Fabiana Perez Jimenez,Platino,4,1737
61345234,Pilar Garcia Moreno,General A,2,0926
67448485,Gabriel Lopez Martin,Prensa,4,1528
71344136,Andrea Soto Perez,Staff,3,1103
21954378,Carla Martin Rios,Staff,3,1317
40904063,Carmen Castillo Flores,Staff,3,1505
94149435,Angel Fernandez Sanchez,General B,1,0832
98910955,Adriana Lopez Fernandez,Platino,4,1758
58659912,Paola Vargas Mamani,Discapacitado,2,1248
43212642,Diana Martinez Sanchez,Prensa,4,1832
34643913,Javier Torres Ruiz,General B,1,1426
34163031,Fabiana Rojas Soto,Discapacitado,2,1312
57803500,Angel Alvarez Castillo,Staff,3,0900
77678031,Sergio Medina Flores,Platino,4,1556
42097344,Fernando Sanchez Quispe,Discapacitado,2,0819
79959080,Marco Romero Quispe,General A,2,1818
20779599,Hector Moreno Martin,VIP,5,2220
24925203,Marco Torres Jimenez,Staff,3,1951
85364373,Juana Vargas Martinez,General A,2,1801
60299128,Alejandro Solis Acosta,Staff,3,1523
24648479,Julio Medina Mamani,VIP,5,1600
20755970,Oscar Moreno Rios,Discapacitado,2,1810
60318744,Diana Herrera Rios,General A,2,0929
66033792,Adriana Rojas Rodriguez,General A,2,1607
28103485,Mateo Rios Navarro,Staff,3,1157
97537635,Natalia Flores Sanchez,VIP,5,1354
16136921,David Quispe Gomez,Discapacitado,2,1124
29750261,Manuela Vargas Torres,VIP,5,0859
89480969,Rosa Navarro Sanchez,Prensa,4,1824
82803032,Alejandra Medina Alvarez,General A,2,2102
62665661,Juan Gonzales Martin,Prensa,4,1001
66004049,Marta Alvarez Medina,General A,2,0802
93319656,Mateo Perez Martin,General B,1,1035
60582944,Rafael Solis Rojas,VIP,5,1150
19653019,Marta Romero Ruiz,General B,1,1904
47029137,Sergio Jimenez Rios,VIP,5,1701
65357821,Sandra Jimenez Martin,General A,2,1005
18379599,Patricia Alvarez Herrera,VIP,5,1125
16568293,Manuela Quispe Herrera,Staff,3,0850
34350178,Patricia Vargas Jimenez,General B,1,0830
60765077,Juan Acosta Sanchez,VIP,5,1324
73662349,Cristina Perez Rojas,VIP,5,1945
80578683,Andres Perez Martinez,VIP,5,1939
91286445,Marco Acosta Torres,Discapacitado,2,0925
77319881,Rafael Gomez Moreno,Discapacitado,2,0923
35396536,Marcela Jimenez Medina,General A,2,1036
28084309,Oscar Solis Diaz,Platino,4,1847
72918812,Valeria Sanchez Torres,VIP,5,2202
93349300,Carla Rojas Gonzales,Prensa,4,2109
32771406,Leonardo Torres Lopez,Prensa,4,2226
43383873,Carmen Fernandez Rios,General B,1,1606
11913989,Veronica Acosta Ruiz,General B,1,2140
91677590,Carla Castillo Diaz,General A,2,2012
23477645,Cecilia Alvarez Gomez,Staff,3,1141
17365031,Diego Moreno Gonzales,Staff,3,2006
65324396,Juan Rodriguez Quispe,Staff,3,1755
72101934,Marta Herrera Moreno,General B,1,1705
69486341,Miguel Martinez Vargas,Staff,3,1646
29384566,Alejandra Solis Alvarez,General A,2,1644
18378336,Cecilia Solis Martinez,VIP,5,1333
49355603,Catalina Garcia Romero,VIP,5,1515
20326132,Adriana Ruiz Jimenez,Discapacitado,2,1302
71023919,Mateo Mamani Martinez,Platino,4,1657
44576985,Leonardo Navarro Rios,Staff,3,1305
19128547,Santiago Fernandez Vargas,General A,2,1901
93427954,Clara Quispe Alvarez,Prensa,4,1752
87758952,Claudia Quispe Gomez,Discapacitado,2,1334
46117450,Ana Rojas Lopez,General A,2,2239
56320409,Marta Rios Flores,General B,1,1459
95632363,Alejandra Flores Gonzales,Prensa,4,2010
92751569,Victor Rojas Quispe,Discapacitado,2,1421
65610123,Ana Soto Rios,Discapacitado,2,2031
26073628,Eduardo Solis Martin,Discapacitado,2,1207
53327110,Cristina Ruiz Diaz,Prensa,4,1906
14625796,Julia Garcia Flores,Platino,4,2251
93583598,Juan Vargas Medina,Staff,3,1848
70290267,Patricia Acosta Ruiz,Platino,4,2026
55837874,Luisa Castillo Martinez,Platino,4,1620
35315905,Gabriel Soto Herrera,General B,1,2249
30746412,Diana Martinez Herrera,General A,2,1826
11703173,Camila Rios Moreno,Prensa,4,2234
20735595,Cecilia Mamani Herrera,VIP,5,1753
49939004,Fabian Fernandez Gomez,Staff,3,1300
92210019,Cristian Gonzales Garcia,Prensa,4,2226
69802216,Natalia Gonzales Alvarez,VIP,5,1421
24604801,Javiera Rodriguez Diaz,Prensa,4,1419
64591553,Antonio Fernandez Solis,Platino,4,1728
19631900,Pilar Vargas Rios,General A,2,1355
32176142,Maria Alvarez Fernandez,Prensa,4,1659
86380836,Jimena Mamani Gomez,VIP,5,1822
86200782,Oscar Martin Moreno,General B,1,1419
33895618,Marta Moreno Gonzales,General A,2,1354
35134235,Rosa Rodriguez Medina,Staff,3,1920
14887248,Valentina Acosta Gonzales,Discapacitado,2,1816
40038365,Marco Romero Perez,General B,1,1621
43696559,Fernanda Gomez Acosta,Platino,4,1328
43518626,Marcela Herrera Soto,Platino,4,2141
93297533,Tomas Diaz Flores,General B,1,2236
37221150,Carlos Vargas Medina,VIP,5,1822
68784266,Jimena Acosta Navarro,Platino,4,1552
59426007,Fabian Martinez Solis,General A,2,1949
13974570,Hector Navarro Mamani,Discapacitado,2,0848
19232930,Mariana Quispe Martin,Platino,4,1908
80287672,Mario Vargas Romero,Staff,3,1438
10751591,Daniela Garcia Sanchez,Prensa,4,1902
74455208,Manuel Medina Rios,Discapacitado,2,1143
52800341,Jose Lopez Martinez,Platino,4,0950
51550694,Fernando Martin Rodriguez,Staff,3,1045
33135767,Camila Rios Romero,General B,1,1723
46800503,Ana Navarro Mamani,VIP,5,0927
62777461,Jose Vargas Torres,VIP,5,2012
83029690,Esteban Moreno Diaz,General A,2,1303
21274972,Carlos Rodriguez Sanchez,Platino,4,1101
80323582,Sofia Flores Navarro,Platino,4,0915
63305466,Roberto Ruiz Rojas,Staff,3,1926
88922413,Marcela Gonzales Martin,Discapacitado,2,1019
69224482,Fernanda Romero Moreno,Prensa,4,2237
27562599,Jesus Ruiz Perez,Staff,3,1403
82202365,Andres Alvarez Garcia,VIP,5,1104
56549670,Santiago Herrera Martinez,Staff,3,1845
13693544,David Ruiz Fernandez,Platino,4,1720
42908657,Oscar Garcia Quispe,General A,2,0859
94524962,Jesus Torres Rojas,VIP,5,1538
52991887,Adriana Rios Vargas,Prensa,4,1842
92527467,Oscar Solis Acosta,General A,2,2240
26984670,Oscar Fernandez Sanchez,General A,2,1444
40361684,Mariana Sanchez Martinez,General B,1,1245
60947761,Ivan Diaz Fernandez,Discapacitado,2,1829
34085959,Guillermo Perez Quispe,Platino,4,1604
42734907,Catalina Perez Diaz,Platino,4,2155
76846520,Clara Moreno Castillo,VIP,5,1513
11780293,Oscar Torres Acosta,General A,2,1621
48027882,Elena Martin Vargas,Discapacitado,2,1048
72431148,Marco Martinez Castro,Platino,4,1832
58783816,Francisco Martin Soto,General B,1,0948
21772313,Florencia Lopez Solis,Platino,4,2147
61532765,Mario Ruiz Herrera,Platino,4,1450
76570165,Mariana Lopez Diaz,Platino,4,1102
28137753,Miguel Solis Ruiz,General A,2,1455
70722235,Fabiana Quispe Solis,General B,1,1804
90196504,Juana Mamani Martinez,Prensa,4,1256
84302475,Tomas Garcia Jimenez,Discapacitado,2,0811
23538841,Hector Ruiz Martinez,General A,2,2137
71112262,Marcela Solis Rojas,General B,1,1805
24231223,Juana Sanchez Ruiz,Discapacitado,2,1855
73417535,Jimena Torres Rodriguez,Staff,3,1900
76828044,Claudia Alvarez Ruiz,Platino,4,2242
29228888,Sofia Navarro Acosta,VIP,5,0809
42168586,Jimena Ruiz Vargas,VIP,5,1426
19151242,Margarita Mamani Rojas,Platino,4,0916
17523732,Adriana Fernandez Soto,General B,1,1725
41157764,Juan Garcia Flores,Staff,3,2044
64998782,Luis Gonzales Torres,Discapacitado,2,1036
93830522,Gabriel Rodriguez Quispe,General B,1,1141
73382581,Ricardo Ruiz Perez,Staff,3,1706
61654930,Julio Acosta Rojas,General B,1,0853
74901957,Eduardo Acosta Rojas,Platino,4,1640
40612532,Margarita Castro Garcia,Platino,4,1000
52704402,Clara Acosta Alvarez,Discapacitado,2,1736
48135457,Samuel Martinez Rojas,Platino,4,2139
36223967,Sandra Torres Martinez,General B,1,1137
84460779,Clara Solis Castillo,Discapacitado,2,1104
91050905,Juana Lopez Sanchez,Platino,4,1225
74649692,Javiera Lopez Rodriguez,VIP,5,1925
83041532,Mario Gonzales Flores,Prensa,4,1046
11956675,Valeria Rodriguez Gonzales,Discapacitado,2,1710
50410693,Gabriel Martin Castillo,Platino,4,2239
26882050,Diego Gomez Jimenez,VIP,5,1230
49983169,Mario Medina Herrera,General B,1,2038
76822790,Laura Gomez Ruiz,Prensa,4,1011
35449913,Samuel Rodriguez Diaz,General A,2,2140
63758048,Mateo Gomez Alvarez,General A,2,0843
10576268,Marcela Sanchez Flores,Discapacitado,2,1108
33193939,Ivan Garcia Romero,Platino,4,1701
28810607,Rosa Gonzales Jimenez,Prensa,4,2044
31160085,Fernanda Rios Fernandez,General B,1,1958
58647663,Mariana Medina Acosta,General B,1,1329
27710542,Felipe Martinez Rios,Prensa,4,2121
25226492,Mario Sanchez Garcia,Discapacitado,2,1833
94545040,Manuela Ruiz Romero,Staff,3,2145
22044912,Gabriela Herrera Gonzales,Platino,4,1403
25961757,Antonio Jimenez Moreno,VIP,5,2213
65119902,Guillermo Castro Quispe,VIP,5,1350
34915372,Fernando Lopez Martinez,Discapacitado,2,1307
69440226,Jesus Herrera Diaz,Discapacitado,2,2229
20027987,Pedro Fernandez Rios,Prensa,4,2050
59836524,Paola Perez Jimenez,General A,2,1607
34574265,Manuela Gonzales Rojas,Discapacitado,2,1241
25769602,Diana Martin Vargas,Prensa,4,2100
38098859,Hector Jimenez Martinez,Prensa,4,1710
75229970,Josefa Navarro Martinez,Prensa,4,1635
22854683,Jesus Alvarez Martin,VIP,5,1424
42650857,Oscar Torres Castro,General B,1,1210
48932378,Patricia Gonzales Solis,Prensa,4,1938
25970815,Valeria Fernandez Garcia,Discapacitado,2,2118
62177564,Clara Herrera Jimenez,Prensa,4,1631
95573540,Jose Gonzales Sanchez,General B,1,1401
23038717,Patricia Rojas Medina,Platino,4,1600
35916789,Patricia Romero Herrera,VIP,5,1934
80272197,Elizabeth Acosta Sanchez,General B,1,1417
23690663,Diego Martin Flores,General B,1,2206
31495263,Roberto Quispe Romero,Discapacitado,2,2148
67649243,Guillermo Sanchez Fernandez,Prensa,4,1652
40803198,Jose Martinez Torres,General A,2,1817
93737365,Monica Fernandez Castro,VIP,5,1237
61239447,Oscar Quispe Martin,Prensa,4,1330
20894035,Carla Lopez Flores,General A,2,0923
42784378,Monica Flores Soto,Staff,3,0956
93831177,Veronica Soto Mamani,Platino,4,1941
35339130,Juan Acosta Soto,VIP,5,1438
81963314,Adriana Soto Jimenez,Discapacitado,2,1520
65952401,Natalia Rojas Navarro,General A,2,0948
42122413,Isabel Quispe Rios,VIP,5,1754
20804302,Miguel Vargas Sanchez,General A,2,0816
99808982,Manuel Torres Quispe,Platino,4,1016
40984098,Josefa Rojas Moreno,Staff,3,0811
91798075,Valeria Rodriguez Perez,Staff,3,1544
84659556,Sebastian Torres Rojas,Prensa,4,1918
54329385,Jorge Moreno Fernandez,General B,1,1307
61601516,Valentina Gomez Rios,Platino,4,0842
72385569,Rodrigo Quispe Moreno,Platino,4,1849
89794622,Jose Medina Vargas,Prensa,4,1336
26548665,Samuel Gomez Navarro,Prensa,4,1027
46814083,Juan Fernandez Castillo,General B,1,0951
26109665,Fernando Rodriguez Lopez,VIP,5,1859
91442321,Gabriela Rios Lopez,Staff,3,1027
24327770,Patricia Castillo Herrera,VIP,5,0848
13631717,Santiago Rojas Perez,Platino,4,1345
69972600,Catalina Rios Romero,General A,2,1738
64160412,Pablo Alvarez Herrera,VIP,5,1847
36735406,Josefa Ruiz Soto,Platino,4,1524
10354620,Rosa Ruiz Martinez,Platino,4,1921
92970170,Marco Romero Martin,VIP,5,1425
39178775,Juana Mamani Rios,Discapacitado,2,1816
57030981,Julia Castillo Gonzales,General B,1,1244
32117722,Samuel Flores Perez,Prensa,4,1248
37409774,Ivan Castillo Garcia,VIP,5,2051
20941932,Emilia Quispe Mamani,Prensa,4,1754
54515811,Jesus Soto Gomez,Prensa,4,1146
66744233,Paulina Martin Rodriguez,General B,1,1311
77882718,Samuel Garcia Medina,Prensa,4,0843
14047846,Emilia Rojas Romero,VIP,5,2043
46589121,Carla Gonzales Solis,Staff,3,1321
11156970,Carlos Moreno Soto,VIP,5,1514
49259794,Andrea Rojas Garcia,General A,2,1332
36580012,Juan Castro Rios,General B,1,1240
87471455,Oscar Gomez Rios,Platino,4,2209
16062684,Clara Diaz Gonzales,Staff,3,1247
70677765,Fabiana Lopez Alvarez,General A,2,1927
26733848,Eduardo Castro Alvarez,Staff,3,1716
71846917,Luisa Perez Lopez,Prensa,4,0842
34517996,Pilar Medina Soto,Discapacitado,2,1058
61987294,Fabiana Romero Rodriguez,General A,2,1631
97075260,Julio Vargas Fernandez,VIP,5,1411
36402458,Oscar Moreno Garcia,Platino,4,1553
41307723,Santiago Rios Romero,VIP,5,1636
52014336,Elizabeth Rojas Flores,General B,1,1905
69692769,Laura Lopez Rodriguez,General A,2,1253
69524525,Juan Mamani Garcia,Staff,3,1804
90748534,Mateo Gomez Jimenez,VIP,5,1452
64380924,Margarita Castillo Perez,Discapacitado,2,0841
78176916,Martin Fernandez Martinez,General B,1,1017
55549713,Manuela Rojas Castro,Prensa,4,1348
81968054,Jorge Martin Sanchez,VIP,5,2124
58956440,Maria Acosta Romero,Platino,4,2206
84566402,Carmen Solis Herrera,General B,1,0932
33323310,Rafael Mamani Alvarez,Staff,3,1613
67460461,Ana Jimenez Rojas,General A,2,1154
51169483,Patricia Medina Martinez,VIP,5,2040
85151347,Julio Fernandez Sanchez,General B,1,1647
54969319,Sergio Martinez Soto,Platino,4,2158
73561137,Adriana Castro Lopez,VIP,5,1226
73569650,Adriana Ruiz Solis,Discapacitado,2,1332
16756249,Roberto Martinez Rodriguez,VIP,5,1700
96501113,Marco Rodriguez Torres,Prensa,4,0817
33569992,Fabian Vargas Castillo,Staff,3,1701
20675303,Estefania Navarro Martin,Platino,4,1522
13995260,Rosa Jimenez Garcia,Platino,4,1321
76420628,Diana Castillo Perez,General A,2,1809
94889101,Emilia Perez Fernandez,Platino,4,1337
81925823,Leonardo Vargas Flores,VIP,5,0901
27900348,Veronica Castillo Mamani,General A,2,2015
40526323,Valentina Solis Rojas,Staff,3,1711
81158071,Emilia Gomez Rojas,General B,1,1348
16890628,Rodrigo Flores Castillo,General A,2,2022
51073712,Roberto Sanchez Gomez,Staff,3,1834
89617508,Cristian Fernandez Martin,Platino,4,1257
51188874,Pablo Rodriguez Solis,Platino,4,2104
21895841,Emilio Martinez Fernandez,General B,1,1112
55120242,Mariana Soto Romero,General A,2,2205
50051468,Sebastian Diaz Vargas,General B,1,2209
50327841,Oscar Castillo Medina,Prensa,4,1305
92827451,Manuela Diaz Castillo,Prensa,4,1139
68799147,Javier Sanchez Torres,Discapacitado,2,1811
47869930,Diana Herrera Perez,Platino,4,1459
50878389,Sergio Vargas Alvarez,Platino,4,1717
93582702,Manuel Alvarez Garcia,Platino,4,2040
89360082,Victor Castillo Fernandez,General B,1,1848
40429143,Eduardo Quispe Castillo,Platino,4,1052
28591497,Tomas Navarro Acosta,Prensa,4,2022
40537557,Javiera Fernandez Quispe,Staff,3,0953
82639472,Alejandro Soto Lopez,Staff,3,2245
65305780,Mateo Quispe Acosta,Platino,4,1655
58512946,Marco Herrera Moreno,Prensa,4,1658
28212888,Fernando Diaz Lopez,Platino,4,1222
14219438,Estefania Martin Sanchez,Prensa,4,2014
10188703,Estefania Soto Mamani,VIP,5,2144
85990158,Laura Quispe Diaz,General B,1,1657
99496474,Samuel Fernandez Alvarez,Staff,3,1648
40675829,Laura Flores Herrera,Staff,3,1550
36535702,Fabian Soto Alvarez,Prensa,4,1617
21851380,David Martinez Garcia,General B,1,1855
58141049,Esteban Fernandez Alvarez,VIP,5,1734
82399064,Jose Vargas Acosta,Platino,4,1014
76459146,Roberto Herrera Jimenez,Discapacitado,2,1713
41142944,Mario Acosta Moreno,General A,2,0854
17462074,Valentina Herrera Fernandez,Platino,4,0948
46734219,Carolina Torres Vargas,Platino,4,0815
75081186,Emilio Soto Lopez,Prensa,4,1641
65812278,Estefania Diaz Alvarez,Discapacitado,2,1409
32135366,Esteban Acosta Alvarez,VIP,5,0929
54171172,Miguel Herrera Sanchez,General A,2,1339
80344180,Paola Castillo Martinez,General A,2,1735
58122804,Fabiana Flores Perez,General A,2,1143
85015674,Tomas Herrera Alvarez,Platino,4,1457
90842824,Martin Garcia Vargas,General A,2,2101
28038478,Natalia Mamani Torres,Staff,3,1217
47421146,Pablo Medina Torres,Discapacitado,2,1052
27650055,Guillermo Gomez Alvarez,Platino,4,1750
16413050,Elizabeth Garcia Fernandez,Discapacitado,2,1924
34139968,Elizabeth Rios Sanchez,Prensa,4,1039
40509302,Ricardo Rojas Soto,Platino,4,1044
89466803,Leonardo Gomez Moreno,Staff,3,2107
16766760,Paola Perez Jimenez,Staff,3,1507
61014231,Jorge Martin Quispe,VIP,5,0933
65945362,Ricardo Rios Torres,General A,2,1359
51565360,Elizabeth Rojas Moreno,General A,2,1554
76829903,Elena Garcia Quispe,General B,1,1332
48359469,Felipe Perez Fernandez,General A,2,1518
86154829,Juan Sanchez Navarro,General B,1,1813
41001821,Martin Acosta Mamani,Discapacitado,2,0942
43928336,Rafael Gomez Flores,Staff,3,0931
72289665,Estefania Diaz Mamani,Platino,4,2045
63421405,Alicia Martin Castro,Prensa,4,0922
92153800,Cristian Jimenez Diaz,VIP,5,1659
70580607,Estefania Moreno Herrera,General A,2,2054
97217765,Catalina Jimenez Moreno,VIP,5,1648
66566991,Clara Solis Alvarez,Platino,4,1112
89114784,Javier Gonzales Vargas,Prensa,4,2053
38172558,Gabriela Ruiz Perez,Staff,3,1300
65873113,Martin Castillo Torres,Staff,3,1433
92033918,Manuel Romero Jimenez,Platino,4,2040
87857979,Elizabeth Fernandez Moreno,General A,2,2157
56374947,Patricia Fernandez Castro,General B,1,1255
43444313,Alicia Rojas Navarro,Discapacitado,2,1541
78173002,Camila Lopez Rodriguez,General A,2,1956
44017485,Emilia Rodriguez Solis,Platino,4,1446
70143361,Florencia Lopez Ruiz,Staff,3,1649
30161548,Leonardo Romero Lopez,General A,2,2200
99252493,Fernando Herrera Romero,VIP,5,2226
41663403,Rosa Castillo Torres,Staff,3,1108
23355920,Alejandra Acosta Martin,VIP,5,0926
52170318,Mariana Herrera Jimenez,General A,2,1738
25495967,Nicolas Moreno Martinez,Platino,4,1022
18635369,Valentina Diaz Fernandez,General B,1,1309
42971966,Antonio Garcia Fernandez,Platino,4,1954
66107769,Julia Diaz Alvarez,General B,1,1720
40663340,Gustavo Alvarez Rios,Staff,3,1424
63538823,Ricardo Solis Quispe,Discapacitado,2,1523
81662233,Javiera Lopez Garcia,Prensa,4,1521
16399192,Valentina Gonzales Medina,General B,1,1213
81995927,Victor Navarro Rojas,Prensa,4,1400
47880370,Luis Martinez Torres,General B,1,0809
46830124,Andres Castro Martinez,Platino,4,1639
21904723,Camila Rojas Jimenez,VIP,5,2211
72019724,Mario Castro Herrera,General A,2,1806
41662885,Martin Gonzales Garcia,Staff,3,1827
76648113,Fernando Romero Jimenez,VIP,5,1433
51714854,Cristina Perez Acosta,General B,1,1152
34802379,Carmen Rios Navarro,Staff,3,2155
13875750,Andrea Medina Solis,Platino,4,1320
97338956,Julio Quispe Herrera,Prensa,4,2128
39974189,Patricia Quispe Soto,General A,2,0920
80671982,Oscar Castillo Jimenez,Prensa,4,2054
93957770,Sandra Castro Quispe,Platino,4,1938
49810144,Pablo Ruiz Soto,General A,2,1115
96253058,Juana Torres Navarro,General B,1,1407
54231996,Andres Solis Ruiz,VIP,5,1355
49477624,Emilio Castro Moreno,General A,2,1519
48148425,Angel Ruiz Navarro,Prensa,4,1214
26332565,Manuela Solis Vargas,Platino,4,1057
58975521,Gustavo Rios Mamani,Platino,4,0805
81180514,Carmen Martinez Fernandez,Discapacitado,2,1927
77074118,Andres Lopez Martin,Discapacitado,2,1123
72482896,Oscar Gonzales Jimenez,VIP,5,1545
41031068,Diana Jimenez Torres,Staff,3,1650
17666168,Javiera Mamani Gomez,General A,2,1322
89301326,Isabel Torres Lopez,General A,2,1748
83191944,Estefania Quispe Gomez,Discapacitado,2,2132
58101705,Alejandro Herrera Lopez,Platino,4,1743
69863749,Diego Ruiz Rios,Platino,4,0945
79946211,Claudia Lopez Castro,VIP,5,1059
72877321,Lucia Moreno Rojas,General A,2,0851
50157912,Roberto Sanchez Romero,Platino,4,1623
40092995,Emilio Rodriguez Martinez,VIP,5,1436
13002558,Antonio Quispe Fernandez,Platino,4,1637
59003819,Valeria Martinez Perez,Staff,3,1206
49485269,Andres Ruiz Gomez,General A,2,1057
69529619,Mariana Garcia Medina,General B,1,1122
11446248,Gabriela Mamani Rios,VIP,5,1941
47952880,Paulina Mamani Acosta,Platino,4,1126
60969097,Josefa Rojas Rios,Discapacitado,2,1304
10470864,Laura Soto Romero,General A,2,1202
88647745,Fabian Lopez Navarro,General A,2,1722
87696845,Guillermo Quispe Castro,Prensa,4,1316
82717691,Elena Rios Rojas,General A,2,1454
11649035,Ricardo Soto Diaz,General B,1,1829
42655067,Maria Flores Jimenez,Staff,3,2233
51776258,Mario Flores Perez,General B,1,0835
36556779,Cristina Perez Rios,Platino,4,1046
31904157,Rosa Diaz Medina,Prensa,4,1643
57057616,Estefania Medina Solis,Discapacitado,2,1233
86432426,Paulina Rodriguez Lopez,Discapacitado,2,1354
64714162,Emilia Romero Rodriguez,Prensa,4,2112
76809312,Alejandro Martin Sanchez,General A,2,1411
81363791,Jose Martin Flores,General B,1,1148
17822602,Andres Perez Solis,General A,2,1113
80727836,Carla Castillo Moreno,Staff,3,2023
67544545,Margarita Martin Navarro,General A,2,1937
72724240,Patricia Martinez Mamani,General A,2,1154
63221685,Sergio Gomez Flores,Prensa,4,1554
90675788,Roberto Lopez Rodriguez,VIP,5,1959
54254882,Jesus Sanchez Rios,Prensa,4,2015
59333497,Mateo Medina Herrera,General A,2,2134
94829954,Rodrigo Diaz Navarro,Platino,4,1047
91028069,Carla Torres Jimenez,Platino,4,1509
18201401,Fabiana Mamani Rodriguez,Platino,4,1351
62938799,Julio Rios Herrera,General A,2,1011
23554576,Manuela Flores Castillo,Platino,4,1632
65526052,Gabriel Acosta Flores,Staff,3,1933
38099925,Jorge Romero Garcia,Prensa,4,1653
72795434,Javier Mamani Solis,General B,1,1245
95071742,Ana Rojas Rodriguez,Discapacitado,2,1921
27163750,Emilio Diaz Fernandez,Staff,3,1630
67600440,Estefania Alvarez Castillo,Prensa,4,2240
60784489,Luisa Quispe Alvarez,Discapacitado,2,1651
28116014,Ivan Fernandez Castillo,General A,2,1832
38800200,Paola Flores Vargas,Prensa,4,1719
22572583,Manuela Rojas Romero,General B,1,1315
61936481,Julio Solis Gomez,Prensa,4,1324
17157764,Pablo Alvarez Castro,Prensa,4,2101
98656105,Fernando Alvarez Flores,General A,2,1228
91165934,David Rojas Jimenez,Prensa,4,0834
17587846,Elizabeth Acosta Gonzales,VIP,5,1307
35890672,Josefa Medina Fernandez,Discapacitado,2,1156
68046556,Sofia Rodriguez Castillo,Discapacitado,2,0905
42462348,Carla Torres Garcia,VIP,5,2147
32854045,Clara Soto Rios,VIP,5,1613
20089693,Paola Herrera Flores,Platino,4,1820
39145686,Diana Medina Rios,General B,1,1138
24686123,Mateo Quispe Castillo,General A,2,1736
16543472,Fernanda Rios Alvarez,Discapacitado,2,2237
44523489,Cecilia Soto Martin,VIP,5,1104
16830934,Mateo Jimenez Gomez,Discapacitado,2,2215
59006847,Margarita Castillo Rodriguez,General B,1,2156
28876678,Juana Vargas Castro,Staff,3,2156
20811420,Florencia Acosta Gonzales,Staff,3,0935
21453106,Camila Vargas Quispe,Prensa,4,1913
68448104,Andrea Castro Gomez,Prensa,4,1054
42062237,Margarita Acosta Castillo,VIP,5,1320
93082235,Pilar Ruiz Romero,Staff,3,1202
55473223,Florencia Herrera Rodriguez,Prensa,4,0825
86185607,Diana Jimenez Torres,General B,1,1522
33387505,Maria Quispe Flores,Platino,4,1945
87003508,Lucia Solis Torres,VIP,5,0827
93924377,Fernanda Mamani Diaz,Discapacitado,2,0951
54423771,Pablo Alvarez Gonzales,General B,1,0851
26184161,Josefa Soto Navarro,VIP,5,1656
63051127,Jimena Sanchez Castro,Platino,4,2053
13649585,Daniel Soto Fernandez,Prensa,4,1559
31788277,Estefania Romero Jimenez,Discapacitado,2,1247
80501448,Pablo Romero Gonzales,Platino,4,1815
45376775,Isabel Acosta Rojas,Prensa,4,1031
72025558,Marco Perez Rodriguez,Prensa,4,1040
79669535,Alicia Moreno Perez,General A,2,1516
24581614,Samuel Romero Quispe,Staff,3,1053
52135848,Samuel Mamani Quispe,Platino,4,1402
44912101,Sebastian Castillo Jimenez,Staff,3,1458
56830194,Natalia Mamani Martin,Staff,3,1846
96302147,Luisa Lopez Martinez,General A,2,1547
85992661,Sandra Vargas Alvarez,VIP,5,0904
32059669,Emilia Mamani Navarro,Platino,4,1524
91832773,Fernando Vargas Torres,Prensa,4,2223
66246689,Pablo Herrera Vargas,General B,1,1244
16753839,Josefa Moreno Torres,VIP,5,0940
11623829,Carolina Quispe Rios,Platino,4,1025
61535202,Marcela Vargas Lopez,Discapacitado,2,2205
96388238,Sandra Sanchez Quispe,Discapacitado,2,1540
68211321,Estefania Jimenez Rojas,Platino,4,0955
82612833,Alejandra Medina Solis,Platino,4,2109
24893032,Luis Martin Torres,General B,1,1740
